###################################################################################################################################################################
#BoxsideX=    30.0000 BoxsideY=    30.0000 BoxsideY=    30.0000 Temperature=   100.0000 
#NROT = 0000000006
###################################################################################################################################################################
#      Step     Energy       RMSD         DX         DY         DZ      ALPHA       BETA      GAMMA      NCONF ConfEnergy       Elec        VDW       SOLV   ROT[  1]  ROT[  2]  ROT[  3]  ROT[  4]  ROT[  5]  ROT[  6]
    440000     58.548      2.606  42.381539   5.168114  82.859761 176.723276  24.204427 130.292518     000000    119.358 -31.360759 -31.653811   2.204721     47.952   127.496   349.468   294.026   168.415   121.083
    450000     58.768      4.080  41.308334   3.975199  83.659927 100.418413  39.241543 199.103805     000000    118.714 -27.541759 -34.109467   1.704633     40.669   120.327    72.543   273.266    91.369   120.873
    460000     64.513      2.138  41.880321   5.229945  82.647970 266.634679  19.305826  56.869590     000000    119.610 -27.361641 -29.848180   2.112567     22.558   145.869    49.244   221.300   179.267   147.775
    470000     58.500      2.651  41.815577   4.678293  83.441477 259.437939  17.874166  54.200844     000000    117.864 -31.573229 -29.594317   1.803831     40.647   140.787    29.389   226.916   151.066   121.597
    480000     57.869      2.637  41.946605   4.943129  83.368778 240.106019  26.612102  73.076591     000000    117.582 -30.462510 -31.110073   1.859009     58.853   136.634    19.562   268.279   171.576   116.230
    490000     64.648      2.545  42.199894   5.107691  83.503463 270.944595   8.477456  39.622452     000000    118.022 -26.598845 -28.587601   1.812491     49.229   153.873    32.789   324.931   260.780   218.964
    500000     58.273      1.978  42.122424   5.378722  83.065681 286.871702  11.926812  37.864276     000000    117.242 -30.485325 -30.411367   1.927954     45.801   152.806    15.726   253.521   176.224   149.269
    510000     60.729      3.006  41.660092   4.455691  83.100581 222.959153  31.493661  77.480022     000000    116.940 -28.939286 -29.295611   2.024494     52.385   110.503    70.782   277.387   149.432   114.855
    520000     61.825      1.711  41.908186   5.387273  82.824463 172.290394  11.824246 168.013275     000000    116.452 -30.537207 -26.078270   1.988878     32.130   153.849    70.155   228.968   178.673   141.343
    530000     67.977      1.869  42.141903   5.591136  83.154289 213.803272 170.194440 108.381885     000000    120.038 -25.277775 -28.666469   1.883202     19.768   176.013    22.512   199.377    98.779   257.870
    540000     68.511      2.075  42.177512   5.538147  83.110383 271.884961 163.691889  43.542006     000000    116.978 -24.790675 -25.600078   1.922921    285.407   188.938    62.094   202.522    88.948   330.149
    550000     61.135      2.775  41.745368   5.078394  83.559092 337.675410 167.999792 327.256261     000000    114.575 -27.028859 -28.167614   1.756891    291.122   175.504    67.200   212.689    67.398    49.547
    560000     62.241      2.383  41.632442   5.324402  83.518920 323.306499 172.783203 337.480519     000000    114.810 -24.939204 -29.261188   1.631551    252.395   198.666   130.254   226.520    67.869    54.858
    570000     70.275      3.517  41.946568   5.074205  83.813317 264.252517  28.858793  11.798494     000000    122.116 -23.580733 -30.007585   1.747529    132.525   239.148   189.420   242.310    86.572   353.077
    580000     64.197      3.108  41.892235   5.513463  83.910521 285.488586  22.111895 354.346215     000000    122.079 -27.498235 -31.968527   1.584739    118.349   252.502   191.539   264.452    85.356    25.004
    590000     68.937      2.681  41.689981   5.775204  82.989410 328.646633  21.607861 316.073210     000000    120.248 -25.594185 -27.405915   1.689184    111.053   255.661   237.874   285.742    84.801    25.021
    600000     59.690      3.665  42.322973   4.743959  83.403055  26.122982  33.809123 246.627425     000000    116.202 -27.633293 -30.977416   2.099228     91.752   270.924   138.031   280.297    75.877   248.033
    610000     57.347      3.810  42.152477   4.736705  83.525542  53.176405  43.841900 218.841789     000000    116.926 -30.968190 -30.616295   2.006157     86.041   281.586   127.246   271.444   109.968   173.252
    620000     67.503      2.572  41.087443   5.962045  83.047491 343.101031  22.845592 297.851522     000000    117.369 -25.301518 -26.081362   1.517340    113.898   276.800   132.504   284.824    94.358    20.581
    630000     70.978      2.926  41.369082   5.889618  83.108397  37.788564  20.590965 244.668862     000000    117.982 -26.033971 -22.548602   1.579120     90.578   271.621   153.187   291.040    90.134    66.419
    640000     72.546      2.546  41.660402   5.753002  83.656518  80.337568  29.651210 210.829883     000000    121.131 -25.053558 -25.075903   1.544570     94.376   269.248   168.155   248.613    79.257    81.466
    650000     70.679      5.014  42.701889   5.829318  84.062741  91.102281  34.022937 188.302708     000000    119.247 -29.758288 -20.774830   1.964755     29.165   264.571   139.283   270.738    89.517   355.250
    660000     71.252      3.338  42.541504   5.445982  83.427906  45.387055  35.120889 239.829556     000000    118.265 -22.066566 -26.991285   2.044283     65.454   277.478   135.269   264.924    54.084    29.456
    670000     66.154      4.915  42.583813   5.301321  83.970654 107.149198  35.666269 182.930994     000000    119.290 -27.841744 -27.264537   1.970642     20.772   275.499   147.178   274.087    76.918    97.684
    680000     80.532      4.715  42.885176   6.215608  83.897534  40.399743  23.019857 255.624693     000000    123.088 -23.622385 -20.957403   2.024602      1.599   291.449   130.788   254.826    63.552    82.581
    690000     73.749      3.251  42.223907   5.983998  83.521848  12.802820  17.189053 251.057552     000000    119.187 -27.428993 -19.817645   1.808337     87.788   250.842   137.001   290.924    74.005    45.677
    700000     60.189      3.260  41.921655   5.655128  83.428373  27.751143  31.534335 255.976265     000000    117.412 -27.653349 -31.294812   1.724948     65.784   275.782   143.641   274.149    83.587    39.125
    710000     72.300      2.626  41.071580   5.874667  83.553789  58.157687  41.388040 217.568355     000000    125.903 -27.659093 -27.323679   1.380046     96.565   300.104   143.696   277.155   104.441   144.016
    720000     72.400      2.461  41.381656   5.855932  83.945852  45.838917  29.434619 236.811782     000000    117.450 -26.409591 -20.066099   1.426015     96.219   277.780   152.488   249.019    78.920   114.083
    730000     71.088      3.437  42.023660   5.690235  83.283203   5.984477  14.903258 266.543697     000000    124.763 -26.199574 -29.335460   1.860547     78.069   253.086   118.794   289.711    57.790    45.761
    740000     70.668      3.570  42.472882   5.579135  83.511592  67.751278  23.360194 217.133926     000000    121.692 -27.849263 -25.175615   2.000673     43.845   279.290   150.752   270.682    73.594    47.759
    750000     66.234      3.161  40.695909   5.853571  84.162525 351.917413  31.903814 282.746903     000000    120.741 -26.476342 -29.100884   1.070311    115.559   277.135   162.207   293.321    81.913    31.280
    760000     70.447      3.343  42.211018   5.250148  83.884185  22.185960  34.030090 252.667250     000000    118.111 -29.638964 -19.799760   1.775004     63.638   276.986   146.452   279.619    80.449    53.826
    770000     74.133      2.670  42.111103   5.959130  83.319857  55.129204  27.696790 226.199042     000000    118.570 -25.519909 -20.635125   1.717796     67.967   287.784   125.231   288.861    89.339    44.269
